# qx                      qy                      qz                      omega                   d2dos                   d2dos1                  d2dos2                  n2dos                   n2dos1                  n2dos2
 -0.1000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.1779979511704E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
 -0.1000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.1857508542021E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
 -0.1000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.2092508536997E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
 -0.1000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.2092508580941E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
 -0.1000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.2390671938507E+03     0.6000000000000E+01     0.0000000000000E+00     0.6000000000000E+01     0.4978528112413E+02     0.0000000000000E+00     0.4978528112413E+02
  0.0000000000000E+00     0.1000000000000E+00     0.0000000000000E+00     0.2141942124980E+02     0.1200000000000E+02     0.1200000000000E+02     0.0000000000000E+00     0.1790534517652E+01     0.1790534517652E+01     0.0000000000000E+00
  0.0000000000000E+00     0.1000000000000E+00     0.0000000000000E+00     0.2141944330730E+02     0.1200000000000E+02     0.1200000000000E+02     0.0000000000000E+00     0.1790534517652E+01     0.1790534517652E+01     0.0000000000000E+00
  0.0000000000000E+00     0.1000000000000E+00     0.0000000000000E+00     0.4839009208830E+02     0.6000000000000E+02     0.6000000000000E+02     0.0000000000000E+00     0.1572164136486E+02     0.1572164136486E+02     0.0000000000000E+00
  0.0000000000000E+00     0.1000000000000E+00     0.0000000000000E+00     0.1779979432643E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
  0.0000000000000E+00     0.1000000000000E+00     0.0000000000000E+00     0.1779979511689E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
  0.0000000000000E+00     0.1000000000000E+00     0.0000000000000E+00     0.1857508542021E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
  0.0000000000000E+00     0.1000000000000E+00     0.0000000000000E+00     0.2092508537091E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
  0.0000000000000E+00     0.1000000000000E+00     0.0000000000000E+00     0.2092508580847E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
  0.0000000000000E+00     0.1000000000000E+00     0.0000000000000E+00     0.2390671938507E+03     0.6000000000000E+01     0.0000000000000E+00     0.6000000000000E+01     0.4978528112413E+02     0.0000000000000E+00     0.4978528112413E+02
  0.1000000000000E+00     0.1000000000000E+00     0.0000000000000E+00     0.2891480164890E+02     0.4000000000000E+01     0.4000000000000E+01     0.0000000000000E+00     0.4363506296426E+00     0.4363506296426E+00     0.0000000000000E+00
  0.1000000000000E+00     0.1000000000000E+00     0.0000000000000E+00     0.2891481623780E+02     0.4000000000000E+01     0.4000000000000E+01     0.0000000000000E+00     0.4363506296426E+00     0.4363506296426E+00     0.0000000000000E+00
  0.1000000000000E+00     0.1000000000000E+00     0.0000000000000E+00     0.5128804294530E+02     0.4000000000000E+01     0.4000000000000E+01     0.0000000000000E+00     0.3761280799546E+01     0.3761280799546E+01     0.0000000000000E+00
  0.1000000000000E+00     0.1000000000000E+00     0.0000000000000E+00     0.1794383060897E+03     0.1600000000000E+02     0.0000000000000E+00     0.1600000000000E+02     0.1780045374525E+03     0.0000000000000E+00     0.1780045374525E+03
  0.1000000000000E+00     0.1000000000000E+00     0.0000000000000E+00     0.1794383754118E+03     0.1600000000000E+02     0.0000000000000E+00     0.1600000000000E+02     0.1780045374525E+03     0.0000000000000E+00     0.1780045374525E+03
  0.1000000000000E+00     0.1000000000000E+00     0.0000000000000E+00     0.1813651119947E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
  0.1000000000000E+00     0.1000000000000E+00     0.0000000000000E+00     0.2085112571983E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
  0.1000000000000E+00     0.1000000000000E+00     0.0000000000000E+00     0.2085112940972E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
  0.1000000000000E+00     0.1000000000000E+00     0.0000000000000E+00     0.2421488376540E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
  0.2000000000000E+00     0.1000000000000E+00     0.0000000000000E+00     0.4307243246800E+02     0.1600000000000E+02     0.1600000000000E+02     0.0000000000000E+00     0.7154501351869E+01     0.7154501351869E+01     0.0000000000000E+00
  0.2000000000000E+00     0.1000000000000E+00     0.0000000000000E+00     0.4665694966340E+02     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
  0.2000000000000E+00     0.1000000000000E+00     0.0000000000000E+00     0.8631142972230E+02     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
  0.2000000000000E+00     0.1000000000000E+00     0.0000000000000E+00     0.1758277414561E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
  0.2000000000000E+00     0.1000000000000E+00     0.0000000000000E+00     0.1800645010605E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
  0.2000000000000E+00     0.1000000000000E+00     0.0000000000000E+00     0.1856871677768E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
  0.2000000000000E+00     0.1000000000000E+00     0.0000000000000E+00     0.2096279063532E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
  0.2000000000000E+00     0.1000000000000E+00     0.0000000000000E+00     0.2101527018538E+03     0.2000000000000E+01     0.2000000000000E+01     0.0000000000000E+00     0.1251411950026E+02     0.1251411950026E+02     0.0000000000000E+00
  0.2000000000000E+00     0.1000000000000E+00     0.0000000000000E+00     0.2407555514114E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
  0.3000000000000E+00     0.1000000000000E+00     0.0000000000000E+00     0.6133731964840E+02     0.1400000000000E+02     0.1400000000000E+02     0.0000000000000E+00     0.7684575076444E+01     0.7684575076444E+01     0.0000000000000E+00
  0.3000000000000E+00     0.1000000000000E+00     0.0000000000000E+00     0.6657562152050E+02     0.1200000000000E+02     0.1200000000000E+02     0.0000000000000E+00     0.4821914447763E+01     0.4821914447763E+01     0.0000000000000E+00
  0.3000000000000E+00     0.1000000000000E+00     0.0000000000000E+00     0.1227026101928E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
  0.3000000000000E+00     0.1000000000000E+00     0.0000000000000E+00     0.1722931475635E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
